pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.1, best_individual=[(120, 19), (106, 155), (102, 191)], fitness=(0.02635082553555157,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.1, best_individual=[(184, 113), (70, 100), (17, 151)], fitness=(0.9706141070703804,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.1, best_individual=[(45, 13), (52, 78), (121, 75)], fitness=(0.02636337083840934,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.1, best_individual=[(180, 174), (117, 103), (128, 88)], fitness=(0.02633317318030637,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.5, best_individual=[(108, 173), (41, 71), (156, 8)], fitness=(0.5796959748394368,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.5, best_individual=[(84, 21), (112, 59), (184, 68)], fitness=(0.04418334798880941,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.5, best_individual=[(197, 147), (12, 17), (34, 166)], fitness=(0.9901374923833082,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.5, best_individual=[(147, 78), (100, 144), (39, 176)], fitness=(0.026353677731417724,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.5, best_individual=[(155, 48), (51, 51), (78, 167)], fitness=(0.3132195530720615,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.5, best_individual=[(157, 54), (124, 130), (51, 56)], fitness=(1.0,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.5, best_individual=[(77, 128), (63, 60), (104, 191)], fitness=(0.0,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.5, best_individual=[(39, 172), (98, 178), (142, 127)], fitness=(0.235057455138321,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.5, best_individual=[(4, 36), (58, 166), (98, 129)], fitness=(0.2291236490959555,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.5, best_individual=[(119, 151), (38, 65), (188, 19)], fitness=(0.06120890982443483,)
